description,positions,class,fixed.format,unit,decimal.places
variable.characters,1--4,skip,X4,NA,NA
USAF.id,5--10,integer,I6,NA,NA
WBAN.id,11--15,integer,I5,NA,NA
date,16--23,integer,I8,NA,NA
time,24--27,integer,I4,NA,NA
source.flag,28--28,character,A1,NA,NA
lattitude,29--34,numeric,F6.3,angular degrees,3
longitude,35--41,numeric,F7.3,angular degrees,3
geophysical.type,42--46,character,A5,NA,NA
elevation,47--51,integer,I5,meters,NA
fixed.station.id,52--56,character,A5,NA,NA
quality.control,57--60,character,A4,NA,NA
wind.direction,61--63,integer,I3,angular degrees,NA
wind.direction.quality,64--64,character,A1,NA,NA
wind.observation.type,65--65,character,A1,NA,NA
wind.speed,66--69,numeric,F4.1,meters per second,1
wind.speed.quality,70--70,integer,I1,NA,NA
ceiling.height,71--75,integer,I5,meters,NA
ceiling.height.quality,76--76,character,I1,NA,NA
ceiling.determination.method,77--77,character,A1,NA,NA
CAVOK.code,78--78,character,A1,NA,NA
visibility.distance,79--84,integer,I6,meters,NA
visibility.distance.quality,85--85,integer,I1,NA,NA
visibility.variability.code,86--86,character,A1,NA,NA
visibility.variability.code.quality,87--87,integer,I1,NA,NA
temperature,88--92,numeric,F5.1,degrees Celsius,1
temperature.quality,93--93,character,A1,NA,NA
dew.point.temp,94--98,numeric,F5.1,degrees Celsius,1
dew.point.temp.quality,99--99,character,A1,NA,NA
atmospheric.pressure,100--104,numeric,F5.1,hectopascals,1
atmospheric.pressure.quality,105--105,character,A1,NA,NA
